,a,b
sib_hau_152,0.78793126,-0.41532964
sib_hau_153,0.67854804,0.5783185
sib_hau_154,0.78793126,-0.41532964
sib_hau_155,0.56108177,1.6892787
sib_hau_156,0.78793126,-0.41532964
sib_hau_157,0.6320151,0.03857096
sib_hau_158,0.78793126,-0.41532964
sib_hau_159,0.6274433,0.51071554
sib_hau_16,0.706751,0.10293185
sib_hau_160,0.6320151,0.03857096
sib_hau_161,0.78793126,-0.41532964
sib_hau_162,0.78793126,-0.41532964
sib_hau_163,0.56108177,1.6892787
sib_hau_164,0.78793126,-0.41532964
sib_hau_165,0.78793126,-0.41532964
sib_hau_166,0.78793126,-0.41532964
sib_hau_167,0.78793126,-0.41532964
sib_hau_168,0.6303697,0.97473395
sib_hau_169,0.78793126,-0.41532964
sib_hau_17,0.78793126,-0.41532964
sib_hau_170,0.78793126,-0.41532964
sib_hau_171,0.706751,0.10293185
sib_hau_172,0.78793126,-0.41532964
sib_hau_173,0.78793126,-0.41532964
sib_hau_174,0.78793126,-0.41532964
sib_hau_175,0.78793126,-0.41532964
sib_hau_176,0.706751,0.10293185
sib_hau_177,0.67854804,0.5783185
sib_hau_178,0.6320151,0.03857096
sib_hau_179,0.56108177,1.6892787
sib_hau_18,0.6274433,0.51071554
sib_hau_180,0.67854804,0.5783185
sib_hau_181,0.5560217,0.8440483
sib_hau_182,0.6020191,0.92564845
sib_hau_183,0.78793126,-0.41532964
sib_hau_184,0.56108177,1.6892787
sib_hau_185,0.78793126,-0.41532964
sib_hau_186,0.78793126,-0.41532964
sib_hau_187,0.53761923,0.39087477
sib_hau_188,0.78793126,-0.41532964
sib_hau_189,0.78793126,-0.41532964
sib_hau_19,0.78793126,-0.41532964
sib_hau_190,0.78793126,-0.41532964
sib_hau_191,0.5947198,0.46707988
sib_hau_192,0.56108177,1.6892787
sib_hau_193,0.6261891,0.03364378
sib_hau_194,0.78793126,-0.41532964
sib_hau_195,0.53201306,0.8006286
sib_hau_196,0.78793126,-0.41532964
sib_hau_197,0.7096046,0.10541948
sib_hau_198,0.78793126,-0.41532964
sib_hau_199,0.7096046,0.10541948
sib_hau_2,0.78793126,-0.41532964
sib_hau_20,0.78793126,-0.41532964
sib_hau_200,0.6026998,0.47773477
sib_hau_201,0.78793126,-0.41532964
sib_hau_202,0.55150425,1.2537094
sib_hau_203,0.78793126,-0.41532964
sib_hau_21,0.78793126,-0.41532964
sib_hau_22,0.78793126,-0.41532964
sib_hau_23,0.78793126,-0.41532964
sib_hau_24,0.78793126,-0.41532964
sib_hau_25,0.78793126,-0.41532964
sib_hau_26,0.78793126,-0.41532964
sib_hau_27,0.78793126,-0.41532964
sib_hau_28,0.78793126,-0.41532964
sib_hau_29,0.78793126,-0.41532964
sib_hau_3,0.78793126,-0.41532964
sib_hau_30,0.78793126,-0.41532964
sib_hau_31,0.78793126,-0.41532964
sib_hau_32,0.51128685,1.1630158
sib_hau_33,0.78793126,-0.41532964
sib_hau_34,0.78793126,-0.41532964
sib_hau_35,0.78793126,-0.41532964
sib_hau_36,0.78793126,-0.41532964
sib_hau_37,0.78793126,-0.41532964
sib_hau_38,0.78793126,-0.41532964
sib_hau_39,0.78793126,-0.41532964
sib_hau_4,0.78793126,-0.41532964
sib_hau_40,0.78793126,-0.41532964
sib_hau_41,0.7096046,0.10541948
sib_hau_42,0.78793126,-0.41532964
sib_hau_43,0.78793126,-0.41532964
sib_hau_44,0.78793126,-0.41532964
sib_hau_45,0.78793126,-0.41532964
sib_hau_46,0.78793126,-0.41532964
sib_hau_47,0.78793126,-0.41532964
sib_hau_48,0.78793126,-0.41532964
sib_hau_49,0.6274433,0.51071554
sib_hau_5,0.5777624,1.3110049
sib_hau_50,0.7096046,0.10541948
sib_hau_51,0.78793126,-0.41532964
sib_hau_52,0.78793126,-0.41532964
sib_hau_53,0.56108177,1.6892787
sib_hau_54,0.78793126,-0.41532964
sib_hau_55,0.706751,0.10293185
sib_hau_56,0.78793126,-0.41532964
sib_hau_57,0.55150425,1.2537094
sib_hau_58,0.7096046,0.10541948
sib_hau_59,0.78793126,-0.41532964
sib_hau_6,0.78793126,-0.41532964
sib_hau_60,0.7096046,0.10541948
sib_hau_61,0.706751,0.10293185
sib_hau_62,0.6303697,0.97473395
sib_hau_63,0.6303697,0.97473395
sib_hau_64,0.7096046,0.10541948
sib_hau_65,0.7096046,0.10541948
sib_hau_66,0.7096046,0.10541948
sib_hau_67,0.78793126,-0.41532964
sib_hau_68,0.78793126,-0.41532964
sib_hau_69,0.78793126,-0.41532964
sib_hau_7,0.6566825,0.059603743
sib_hau_70,0.7096046,0.10541948
sib_hau_71,0.5848147,1.3261219
sib_hau_72,0.706751,0.10293185
sib_hau_73,0.7096046,0.10541948
sib_hau_74,0.78793126,-0.41532964
sib_hau_75,0.56108177,1.6892787
sib_hau_76,0.78793126,-0.41532964
sib_hau_77,0.78793126,-0.41532964
sib_hau_78,0.7096046,0.10541948
sib_hau_79,0.7096046,0.10541948
sib_hau_8,0.78793126,-0.41532964
sib_hau_80,0.78793126,-0.41532964
sib_hau_81,0.67854804,0.5783185
sib_hau_82,0.6303697,0.97473395
sib_hau_83,0.706751,0.10293185
sib_hau_84,0.7096046,0.10541948
sib_hau_85,0.67854804,0.5783185
sib_hau_86,0.78793126,-0.41532964
sib_hau_87,0.78793126,-0.41532964
sib_hau_88,0.6303697,0.97473395
sib_hau_89,0.78793126,-0.41532964
sib_hau_9,0.78793126,-0.41532964
sib_hau_90,0.78793126,-0.41532964
sib_hau_91,0.78793126,-0.41532964
sib_hau_92,0.56108177,1.6892787
sib_hau_93,0.78793126,-0.41532964
sib_hau_94,0.78793126,-0.41532964
sib_hau_95,0.78793126,-0.41532964
sib_hau_96,0.78793126,-0.41532964
sib_hau_97,0.78793126,-0.41532964
sib_hau_98,0.78793126,-0.41532964
sib_hau_99,0.78793126,-0.41532964
sib_ibo_0,0.78793126,-0.41532964
sib_ibo_1,0.78793126,-0.41532964
sib_ibo_10,0.78793126,-0.41532964
sib_ibo_100,0.78793126,-0.41532964
sib_ibo_101,0.78793126,-0.41532964
sib_ibo_102,0.78793126,-0.41532964
sib_ibo_103,0.78793126,-0.41532964
sib_ibo_104,0.78793126,-0.41532964
sib_ibo_105,0.78793126,-0.41532964
sib_ibo_106,0.78793126,-0.41532964
sib_ibo_107,0.78793126,-0.41532964
sib_ibo_108,0.78793126,-0.41532964
sib_ibo_109,0.78793126,-0.41532964
sib_ibo_11,0.78793126,-0.41532964
sib_ibo_110,0.78793126,-0.41532964
sib_ibo_111,0.78793126,-0.41532964
sib_ibo_112,0.78793126,-0.41532964
sib_ibo_113,0.78793126,-0.41532964
sib_ibo_114,0.78793126,-0.41532964
sib_ibo_115,0.78793126,-0.41532964
sib_ibo_116,0.78793126,-0.41532964
sib_ibo_117,0.78793126,-0.41532964
sib_ibo_118,0.78793126,-0.41532964
sib_ibo_119,0.78793126,-0.41532964
sib_ibo_12,0.78793126,-0.41532964
sib_ibo_120,0.6250029,0.50746787
sib_ibo_121,0.78793126,-0.41532964
sib_ibo_122,0.78793126,-0.41532964
sib_ibo_123,0.78793126,-0.41532964
sib_ibo_124,0.7096046,0.10541948
sib_ibo_125,0.78793126,-0.41532964
sib_ibo_126,0.706751,0.10293185
sib_ibo_127,0.78793126,-0.41532964
sib_ibo_128,0.78793126,-0.41532964
sib_ibo_129,0.78793126,-0.41532964
sib_ibo_13,0.59689516,0.46998495
sib_ibo_130,0.78793126,-0.41532964
sib_ibo_131,0.56108177,1.6892787
sib_ibo_132,0.78793126,-0.41532964
sib_ibo_133,0.78793126,-0.41532964
sib_ibo_134,0.78793126,-0.41532964
sib_ibo_135,0.78793126,-0.41532964
sib_ibo_136,0.78793126,-0.41532964
sib_ibo_137,0.6566825,0.059603743
sib_ibo_138,0.78793126,-0.41532964
sib_ibo_139,0.7096046,0.10541948
sib_ibo_14,0.7096046,0.10541948
sib_ibo_140,0.78793126,-0.41532964
sib_ibo_141,0.78793126,-0.41532964
sib_ibo_142,0.78793126,-0.41532964
sib_ibo_143,0.78793126,-0.41532964
sib_ibo_144,0.6303697,0.97473395
sib_ibo_145,0.7096046,0.10541948
sib_ibo_146,0.78793126,-0.41532964
sib_ibo_147,0.78793126,-0.41532964
sib_ibo_148,0.78793126,-0.41532964
sib_ibo_149,0.78793126,-0.41532964
sib_ibo_15,0.78793126,-0.41532964
sib_ibo_150,0.78793126,-0.41532964
sib_ibo_151,0.78793126,-0.41532964
