,a,b
afrimgsm_eng_209,0.72505677,0.21326363
afrimgsm_eng_21,0.7054685,-0.8489991
afrimgsm_eng_210,0.7054685,-0.8489991
afrimgsm_eng_211,0.7054685,-0.8489991
afrimgsm_eng_212,0.7054685,-0.8489991
afrimgsm_eng_213,0.7054685,-0.8489991
afrimgsm_eng_214,0.79315966,-0.3160993
afrimgsm_eng_215,0.7054685,-0.8489991
afrimgsm_eng_216,0.7054685,-0.8489991
afrimgsm_eng_217,0.7054685,-0.8489991
afrimgsm_eng_218,0.79315966,-0.3160993
afrimgsm_eng_219,0.79315966,-0.3160993
afrimgsm_eng_22,0.7054685,-0.8489991
afrimgsm_eng_220,0.5902392,-0.30633837
afrimgsm_eng_221,0.7054685,-0.8489991
afrimgsm_eng_222,0.7054685,-0.8489991
afrimgsm_eng_223,0.79315966,-0.3160993
afrimgsm_eng_224,0.7054685,-0.8489991
afrimgsm_eng_225,0.7054685,-0.8489991
afrimgsm_eng_226,0.79315966,-0.3160993
afrimgsm_eng_227,0.681165,1.1876816
afrimgsm_eng_228,0.7054685,-0.8489991
afrimgsm_eng_229,0.79315966,-0.3160993
afrimgsm_eng_23,0.7054685,-0.8489991
afrimgsm_eng_230,0.79315966,-0.3160993
afrimgsm_eng_231,0.79315966,-0.3160993
afrimgsm_eng_232,0.7054685,-0.8489991
afrimgsm_eng_233,0.7054685,-0.8489991
afrimgsm_eng_234,0.7054685,-0.8489991
afrimgsm_eng_235,0.7054685,-0.8489991
afrimgsm_eng_236,0.6104306,-0.30883098
afrimgsm_eng_237,0.7054685,-0.8489991
afrimgsm_eng_238,0.79315966,-0.3160993
afrimgsm_eng_239,0.79315966,-0.3160993
afrimgsm_eng_24,0.681165,1.1876816
afrimgsm_eng_240,0.79315966,-0.3160993
afrimgsm_eng_241,0.5902392,-0.30633837
afrimgsm_eng_242,0.72505677,0.21326363
afrimgsm_eng_243,0.7054685,-0.8489991
afrimgsm_eng_244,0.72505677,0.21326363
afrimgsm_eng_245,0.79315966,-0.3160993
afrimgsm_eng_246,0.79315966,-0.3160993
afrimgsm_eng_247,0.79315966,-0.3160993
afrimgsm_eng_248,0.59232324,-0.3066153
afrimgsm_eng_249,0.79315966,-0.3160993
afrimgsm_eng_25,0.79315966,-0.3160993
afrimgsm_eng_26,0.79315966,-0.3160993
afrimgsm_eng_27,0.6794138,0.69208974
afrimgsm_eng_28,0.7054685,-0.8489991
afrimgsm_eng_29,0.79315966,-0.3160993
afrimgsm_eng_3,0.7054685,-0.8489991
afrimgsm_eng_30,0.79315966,-0.3160993
afrimgsm_eng_31,0.79315966,-0.3160993
afrimgsm_eng_32,0.79315966,-0.3160993
afrimgsm_eng_33,0.79315966,-0.3160993
afrimgsm_eng_34,0.79315966,-0.3160993
afrimgsm_eng_35,0.7054685,-0.8489991
afrimgsm_eng_36,0.681165,1.1876816
