,a,b
afrixnli_amh_558,0.7635237,0.08207443
afrixnli_amh_559,0.70651853,-0.39941782
afrixnli_amh_56,0.80420583,-0.8923034
afrixnli_amh_560,0.73473793,0.5267357
afrixnli_amh_561,0.7602274,-0.39185357
afrixnli_amh_562,0.80420583,-0.8923034
afrixnli_amh_563,0.80420583,-0.8923034
afrixnli_amh_564,0.7635237,0.08207443
afrixnli_amh_565,0.69540447,0.056891445
afrixnli_amh_566,0.80420583,-0.8923034
afrixnli_amh_567,0.7059342,0.06079441
afrixnli_amh_568,0.69540447,0.056891445
afrixnli_amh_569,0.69565564,-0.40068328
afrixnli_amh_57,0.70679575,0.06111377
afrixnli_amh_570,0.69540447,0.056891445
afrixnli_amh_571,0.69565564,-0.40068328
afrixnli_amh_572,0.7059342,0.06079441
afrixnli_amh_573,0.7479983,0.5339449
afrixnli_amh_574,0.63420725,0.89673305
afrixnli_amh_575,0.69565564,-0.40068328
afrixnli_amh_576,0.69565564,-0.40068328
afrixnli_amh_577,0.7608128,0.996307
afrixnli_amh_578,0.7479983,0.5339449
afrixnli_amh_579,0.69565564,-0.40068328
afrixnli_amh_58,0.7467643,1.4440738
afrixnli_amh_580,0.80420583,-0.8923034
afrixnli_amh_581,0.7479983,0.5339449
afrixnli_amh_582,0.7635237,0.08207443
afrixnli_amh_583,0.73473793,0.5267357
afrixnli_amh_584,0.6800837,0.49539727
afrixnli_amh_585,0.7467643,1.4440738
afrixnli_amh_586,0.6182554,0.45675644
afrixnli_amh_587,0.7059342,0.06079441
afrixnli_amh_588,0.7611757,-0.39170244
afrixnli_amh_589,0.7059342,0.06079441
afrixnli_amh_59,0.7611757,-0.39170244
afrixnli_amh_590,0.57967764,0.43094468
afrixnli_amh_591,0.59398746,0.019788202
afrixnli_amh_592,0.7635237,0.08207443
afrixnli_amh_593,0.69540447,0.056891445
afrixnli_amh_594,0.80420583,-0.8923034
afrixnli_amh_595,0.80420583,-0.8923034
afrixnli_amh_596,0.7479983,0.5339449
afrixnli_amh_597,0.80420583,-0.8923034
afrixnli_amh_598,0.7479983,0.5339449
afrixnli_amh_599,0.64743423,0.03917148
afrixnli_amh_6,0.69540447,0.056891445
afrixnli_amh_60,0.6947077,0.9477968
afrixnli_amh_61,0.6424385,0.037338115
afrixnli_amh_62,0.7602274,-0.39185357
afrixnli_amh_63,0.7467643,1.4440738
afrixnli_amh_64,0.69565564,-0.40068328
afrixnli_amh_65,0.63346595,0.89606524
afrixnli_amh_66,0.7059342,0.06079441
afrixnli_amh_67,0.61893564,0.45720002
afrixnli_amh_68,0.63420725,0.89673305
afrixnli_amh_69,0.7059342,0.06079441
afrixnli_amh_7,0.80420583,-0.8923034
afrixnli_amh_70,0.7059342,0.06079441
afrixnli_amh_71,0.80420583,-0.8923034
afrixnli_amh_72,0.80420583,-0.8923034
afrixnli_amh_73,0.7479983,0.5339449
afrixnli_amh_74,0.68292916,0.9383759
afrixnli_amh_75,0.69565564,-0.40068328
afrixnli_amh_76,0.57967764,0.43094468
afrixnli_amh_77,0.80420583,-0.8923034
afrixnli_amh_78,0.69565564,-0.40068328
afrixnli_amh_79,0.7635237,0.08207443
afrixnli_amh_8,0.70679575,0.06111377
afrixnli_amh_80,0.69540447,0.056891445
afrixnli_amh_81,0.80420583,-0.8923034
afrixnli_amh_82,0.7479983,0.5339449
afrixnli_amh_83,0.7611757,-0.39170244
afrixnli_amh_84,0.80420583,-0.8923034
afrixnli_amh_85,0.7635237,0.08207443
afrixnli_amh_86,0.6182554,0.45675644
afrixnli_amh_87,0.6743284,0.49194366
afrixnli_amh_88,0.70651853,-0.39941782
afrixnli_amh_89,0.7467643,1.4440738
afrixnli_amh_9,0.7602274,-0.39185357
afrixnli_amh_90,0.80420583,-0.8923034
afrixnli_amh_91,0.69565564,-0.40068328
afrixnli_amh_92,0.69565564,-0.40068328
afrixnli_amh_93,0.7635237,0.08207443
